id,user_id,organization_id,role,created_at,is_default
95cb5b59-f323-44af-88be-fc310e784dde,a89a9a41-edb1-40f2-8a22-8f0132d5bda2,58e4685e-d353-496f-b97b-d8dbfb538a77,admin,2026-01-28 20:39:07.114292+00,t
9309c194-313b-4956-b6a4-d31b82c50a87,04161c02-f3fc-47c4-948c-4d03072f0143,eefebe94-f878-43e9-a068-a405db01a563,admin,2026-01-28 20:33:21.939497+00,t
3cd3a949-3200-4ab3-8378-b50d6b3fb814,d6d5267f-06fc-4d3b-989a-243819f2c634,688d64b3-b049-446b-a93f-aaae4e1e860f,admin,2026-01-28 20:37:37.092621+00,t
9bd4091c-1b31-47cd-940c-130ea7ad4cde,a89a9a41-edb1-40f2-8a22-8f0132d5bda2,7dfe7520-e0fe-48fd-bf2b-69459a8e545a,admin,2026-01-28 21:14:04.372111+00,f
